feature	PT1	PT2	PT3
ARFGEF2	184	2	10
ARFGEF3	6	0	6
ARFIP1	162	66	2
ARFIP2	42	52	0
ARFRP1	562	924	2
ARG1	90	146	0
ARG2	6	16	0
ARGFX	0	0	0
ARGFXP2	20	0	0
ARGLU1	598	476	6
ARHGAP1	1054	3042	1624
ARHGAP10	0	0	12
ARHGAP11A	0	8	0
ARHGAP11B	0	0	0
ARHGAP12	0	4	0
ARHGAP15	566	140	0
ARHGAP17	14	146	10
ARHGAP18	0	2	16
ARHGAP19	68	522	2
ARHGAP19-SLIT1	0	0	0
ARHGAP20	438	2	20
ARHGAP21	0	0	2
ARHGAP22	0	0	0
ARHGAP23	0	0	4
ARHGAP24	6	176	2
ARHGAP25	2072	1518	80
ARHGAP26	734	1412	120
ARHGAP26-AS1	0	0	32
ARHGAP26-IT1	0	0	0
ARHGAP27	642	1268	12
ARHGAP28	0	0	2
ARHGAP29	0	0	6
ARHGAP30	2034	3226	3958
ARHGAP31	0	22	10
ARHGAP31-AS1	0	0	0
ARHGAP32	0	280	2484
ARHGAP33	28	0	100
ARHGAP35	0	50	6
ARHGAP36	0	0	0
ARHGAP39	0	0	4
ARHGAP4	354	858	460
ARHGAP40	0	0	6
ARHGAP42	0	0	170
ARHGAP44	0	0	6
ARHGAP5	0	0	0
ARHGAP5-AS1	0	0	0
ARHGAP6	0	0	0
ARHGAP8	0	0	0
ARHGAP9	2208	3350	602
ARHGDIA	88	1492	38
ARHGDIB	22680	78516	882
ARHGDIG	0	0	0
ARHGEF1	616	1326	174
ARHGEF10	424	0	4
ARHGEF10L	0	0	4
ARHGEF11	98	20	8
ARHGEF12	42	0	4
ARHGEF15	0	0	0
